i_g,erm_val,erm,RU_val,RU,Robust_val,Robust_mean,opt,z_erm,z_RU,z_opt,z_robust,l_wass_in,l_wass_out,z_wass,l_mom_in,l_mom_out,z_mom
0,4.838031122655757,4.891276059430204,4.836583667962864,3.34844029048464,4.841906168868968,4.886684112200208,4.836581095656715,0.4093921572368043,0.41822535786342446,0.42002201080322266,0.39802653303259433,"[4.89127608e+00 4.90351958e+00 4.98383952e+00 5.62776557e+00
 1.34488492e+01 6.40736792e+03]","[   4.83770782    4.83702769    4.83685158    4.83979781    5.7373651
 2192.33226022]",2.7171355104235806,"[4.89127607 5.37711924 5.01801275 4.33857843 5.16772056 4.873521
 5.11379123 5.11379121 3.62097074 3.75961221]","[4.83716227 4.83686208 4.86923906 4.83626438 4.84677165 4.84230145
 5.01569701 5.01530947 4.94186286 4.85273078]",0.4569143531716603
1,4.897880655960264,4.329267811198344,4.896634708665184,2.9795767835741196,4.851421407882057,4.645451684683488,4.836581095656715,0.3451698251535367,0.34634423151357596,0.42002201080322266,0.38399615114751734,"[4.32926778e+00 4.34004740e+00 4.41039478e+00 4.97216122e+00
 1.17146155e+01 5.58112053e+03]","[   4.89811082    4.89709309    4.89249007    4.85964276    5.2390679
 1763.88678462]",2.6446634388524797,"[4.32926776 3.82378112 4.08101083 4.23382114 4.06609259 3.88165752
 4.26931684 4.26931696 3.67480866 3.6748087 ]","[4.89790496 4.93899827 4.92742882 4.8602711  5.05199132 4.9239331
 5.06651619 5.06619731 4.89782763 4.89866893]",0.3451699264165421
2,4.836670767235726,4.604233935264526,4.8357741242459,3.134848624542189,4.851602304860266,4.591685759150631,4.836581095656715,0.41226778996047236,0.4192940075087986,0.42002201080322266,0.3838576063167306,"[4.60423388e+00 4.61575886e+00 4.69136528e+00 5.28961637e+00
 1.24699187e+01 5.94246190e+03]","[   4.83673872    4.83645795    4.83612124    4.84162501    5.60489975
 2073.10120153]",2.69849157855207,"[4.60423387 4.70123315 4.87603264 4.25134862 4.83758842 4.29009153
 3.93385885 3.93385888 4.25074108 4.25074112]","[4.83710059 4.83605567 5.23289851 4.83652739 4.85032934 4.83708637
 4.83628992 4.83599008 4.83651288 4.83636327]",0.4239819123622515
3,4.85537423672356,5.226217313193245,4.8601652225837215,3.555595537510949,4.870242296045941,5.362270957448682,4.836581095656715,0.46006845977984,0.46427981077332947,0.42002201080322266,0.472117247918281,"[5.22621728e+00 5.23929917e+00 5.32511923e+00 6.01300981e+00
 1.42006028e+01 6.77348783e+03]","[   4.85599826    4.85656382    4.85988039    4.89558177    6.21769549
 2432.80093013]",2.7518275664554124,"[5.22621729 4.92368431 5.25417294 5.19068273 5.02508508 4.90215494
 5.22002494 5.22002497 5.31338649 5.31338718]","[4.85538102 4.84380477 4.85348134 4.83813579 4.83624706 4.85411573
 4.8606385  4.86035724 5.25774871 5.25758907]",0.5927925817093445
4,4.836142274166158,4.34652026244053,4.836649305593117,2.972936116413539,4.836573859383787,4.34729849204305,4.836581095656715,0.4215753943580516,0.4281020035528116,0.42002201080322266,0.4146455397917757,"[4.34652022e+00 4.35740010e+00 4.42871247e+00 4.99143896e+00
 1.17251373e+01 5.58847180e+03]","[   4.83628765    4.836066      4.83617484    4.8484746     5.72937163
 2146.7773881 ]",2.710131572953435,"[4.34652038 4.29487504 4.35705868 4.0655991  3.9523373  4.12084837
 3.81925851 3.82476349 3.76507115 3.76507113]","[4.83611051 4.83628124 4.84905526 4.85610135 4.85329019 4.90951315
 4.86286424 4.90588216 4.84133563 4.84186407]",0.398196455635823
5,4.836010498606128,4.954931871645462,4.8356274116779625,3.383789127815368,4.850300309740984,4.758791287327987,4.836581095656715,0.41388455052065065,0.41601128500924445,0.42002201080322266,0.38450983999120014,"[4.95493186e+00 4.96733469e+00 5.04869990e+00 5.69668441e+00
 1.35122291e+01 6.43757891e+03]","[   4.83606701    4.83676903    4.83583556    4.84307223    5.63479066
 2119.52239684]",2.705874593791037,"[4.954932   5.14164746 4.50419612 4.65446073 4.41827143 4.72298352
 4.52731026 4.52731028 3.86555518 4.16600725]","[4.83678217 4.88155711 4.83645148 5.08841585 4.960474   4.87917905
 5.04324504 5.0428659  4.83592781 4.89779539]",0.49001379361102093
6,4.849043424080324,4.974698036752059,4.850618326480166,3.3926457658277647,4.851195445165903,4.799548780173819,4.836581095656715,0.4525256124766436,0.4550578766963439,0.42002201080322266,0.45505788086927174,"[4.97469801e+00 4.98715030e+00 5.06864278e+00 5.71907247e+00
 1.36074247e+01 6.49129783e+03]","[   4.84901124    4.84947427    4.8523204     4.88395693    5.95534194
 2284.25657942]",2.7308202263655246,"[4.97469805 4.63134322 5.05689197 5.1850172  4.85417193 4.95966108
 4.76150154 4.76149359 3.75195992 3.82590361]","[4.84928938 4.83625298 4.86223619 4.88197837 4.83743117 4.95243918
 4.95789184 4.95778422 4.9139466  4.87862199]",0.47824434918633196
7,4.84594568099469,4.971448958843549,4.851798515426205,3.392859142201955,4.8369003246427145,5.068227069235771,4.836581095656715,0.44789688793525895,0.45570264205886507,0.42002201080322266,0.41169823973275727,"[4.97144898e+00 4.98389316e+00 5.06537561e+00 5.71374068e+00
 1.35496305e+01 6.46234876e+03]","[   4.84573312    4.84531216    4.8482162     4.87773666    5.92919014
 2321.03658417]",2.7361450721455545,"[4.97144901 4.70153865 4.83313798 4.5846943  5.2398411  5.2073098
 4.94772238 4.94772181 4.78310172 5.00097939]","[4.84526619 4.83675446 4.89296384 4.83679523 4.88925613 4.87038224
 5.21534114 5.21534284 4.83949525 5.09225276]",0.5572454871152509
8,4.849296596394035,4.759689894015611,4.84930452551872,3.2550286146422485,4.840685881440029,4.887346375065443,4.836581095656715,0.452865502498152,0.4528655694942046,0.42002201080322266,0.44061058985689106,"[4.75968988e+00 4.77160397e+00 4.84976314e+00 5.47757384e+00
 1.30264446e+01 6.21289941e+03]","[   4.84928559    4.84905662    4.8526519     4.8829248     5.92650419
 2309.12120955]",2.734418714607474,"[4.75969007 4.87007615 4.44731935 4.76734611 4.82994769 4.31914463
 4.9659417  4.96594128 3.91356475 3.95430868]","[4.84901719 4.84532387 4.83836877 4.83668332 4.84356916 4.83627064
 5.32344552 5.32337991 5.09349709 4.99786156]",0.29697006075319526
9,4.862260084288051,4.217289809423673,4.852474761017012,2.894609591420498,4.926334318533023,3.804009593310109,4.836581095656715,0.3721338183284246,0.38182686268852933,0.42002201080322266,0.32930852559686297,"[4.21728981e+00 4.22784619e+00 4.29707037e+00 4.85052414e+00
 1.14481703e+01 5.45417972e+03]","[   4.86232117    4.86147961    4.85786347    4.84029872    5.40451056
 1922.71602212]",2.6733802616403057,"[4.21728986 4.07768127 4.70884126 4.60307229 3.73161165 3.85204563
 3.33764901 3.82221655 3.25192237 3.54504411]","[4.86164482 4.87331839 4.83971888 4.84022914 4.89280185 4.94767405
 4.8931474  4.85379246 5.34627731 4.83599672]",0.41722310931018125
