i_g,erm,RU_val,RU,Robust_val,Robust_mean,opt,z_erm,z_RU,z_opt,z_robust,l_wass_in,l_wass_out,z_wass,l_mom_in,l_mom_out,z_mom,l_wass_mom_in,l_wass_mom_out,z_was_mom
0,8.076475395980284,31.563451449547028,5.814014768427784,33.15445950020808,8.076444697910498,21.981184188746038,0.5580589175224304,0.5801905913366646,0.8775040507316589,0.5581237763910047,[ 8.07644416 90.087534  ],[33.15513944 90.46168436],[0.55811476 1.57137538],[ 8.07644416  9.143168    9.23998687 12.82828652 12.8604464 ],[33.1544595  50.09331233 51.04942029 80.45686747 80.6950551 ],[0.55812378 0.3952215  0.38831078 0.22836477 0.22735234],"[[ 8.07644416  9.14277784  9.2408746  12.84131047 12.8606112 ]
 [90.07883449 57.33061076 51.44095365 36.30681218 38.4331159 ]]","[[33.15573393 50.08939972 51.05810709 80.55334184 80.69627535]
 [90.45319689 58.7831984  53.1920361  39.06549931 41.00793913]]","[[0.55810688 0.39525012 0.38824872 0.22795431 0.22734716]
 [1.57134319 1.42072635 1.38459299 1.26717179 1.28644558]]"
1,6.562482084024377,35.74580030565364,4.811050867455236,38.441212540073124,6.562457474711677,21.981184188746038,0.4961460828781128,0.5259242417944423,0.8775040507316589,0.49620150311120187,[ 6.56245739 75.77377979],[38.44195336 76.75088096],[0.49619377 1.51466736],[6.56245739 7.3507791  8.73242659 7.34276584 8.87113192],[38.44121254 57.84810821 75.78849737 57.72759039 77.41870927],[0.4962015  0.34328889 0.24888972 0.34403136 0.24157027],"[[ 6.56245739  7.35138121  8.73223777  7.34279625  8.87117555]
 [75.76920618 50.61724471 39.41949719 46.08115367 40.24561153]]","[[38.44241369 57.85715363 75.78626334 57.7280482  77.41921973]
 [76.74643361 52.55352476 42.08161786 48.28342188 42.84283547]]","[[0.49618897 0.34323323 0.24889987 0.34402854 0.24156801]
 [1.51464724 1.38018069 1.29655649 1.3488846  1.30351276]]"
2,9.046957147583996,27.247304270685976,6.927991576322477,29.570543046352586,9.04692028111056,21.981184188746038,0.6110638380050659,0.6538113399355434,0.8775040507316589,0.6111279095522512,[ 9.0469197  98.83610582],[ 29.57106262 103.37627947],[0.61111926 1.6169906 ],[ 9.04691971 12.01196056 12.62633399 13.43433474 14.37092091],[29.57054305 55.09145357 58.78642416 63.44149682 68.67551268],[0.61112791 0.36074248 0.33756914 0.31066977 0.28297852],"[[ 9.0469197  12.01202143 12.62635532 13.43361034 14.37103722]
 [98.85257597 47.97601931 42.24500084 43.76380448 43.71621588]]","[[ 29.57073448  55.0918249   58.78655005  63.43738946  68.67615444]
 [103.39313508  51.77220423  46.12214616  47.61173629  47.56496951]]","[[0.61112472 0.36074006 0.33756838 0.3106925  0.28297527]
 [1.61704614 1.37469256 1.33169477 1.34364875 1.34328072]]"
3,28.43351266638345,23.49226277721642,21.19013969825985,22.726118355673155,28.433419708063163,21.981184188746038,0.9632110595703125,0.9992908921221065,0.8775040507316589,0.96324817402486,[ 28.43341956 297.80574632],[ 22.72640111 297.24755913],[0.96326436 1.97217448],[28.43341958 95.4175851  92.63094308 82.7220429  75.00653927],[22.72611836 58.45309591 56.78654775 50.8784454  46.30592554],[0.96324817 0.33958879 0.34989192 0.38953483 0.42430994],"[[ 28.43341974  95.43358104 104.93415607 131.70798708 118.67654951]
 [297.85253623  49.62479877  45.10814587  41.22242721  46.36555297]]","[[ 22.72569029  58.46266914  64.15821768  80.26763341  72.41523219]
 [297.29414804  47.71477703  42.97602835  38.83986085  44.30139095]]","[[0.96322367 0.3395306  0.30672888 0.22917143 0.26459643]
 [1.97222684 1.344458   1.30471269 1.26484344 1.3163873 ]]"
4,28.168251252725174,23.957414098736326,22.83214595275501,22.535166832553546,28.1681622242366,21.981184188746038,0.9513534605503082,1.0165532349944228,0.8775040507316589,0.9514991400669478,[ 28.16816043 298.6209118 ],[ 22.5338797  293.60478073],[0.95141349 1.9680541 ],[ 28.16816156  52.89329459  51.1582634   46.41858579 112.68011045],[22.53516683 34.6754012  33.632385   30.81114792 71.74583439],[0.95149914 0.53873303 0.55186702 0.59138373 0.26780865],"[[ 28.16816043  97.1000874  102.42066235 122.41121496 112.82208993]
 [298.5815265   50.09641445  44.9760601   41.98923333  48.12850246]]","[[ 22.53384012  61.97652775  65.30725811  77.86709589  71.83503989]
 [293.56598762  47.68258577  42.40264383  39.2844573   45.66121253]]","[[0.95141086 0.31888455 0.30051357 0.2395864  0.26737868]
 [1.96800995 1.34420542 1.29951087 1.26941254 1.32789494]]"
5,4.741790297401436,45.69318639745703,3.375845345841279,48.16602280858075,4.74177349430468,21.981184188746038,0.4096120595932007,0.42930105345585734,0.8775040507316589,0.40966303044055685,[ 4.74177346 57.20007618],[48.16544375 59.09928185],[0.40966748 1.4226476 ],[4.74177346 4.98235662 5.18160578 5.04643201 5.64635399],[48.16602281 61.97541412 67.92711061 64.0018052  79.35576767],[0.40966303 0.31889088 0.28679039 0.30758465 0.23308749],"[[ 4.74177346  4.9823497   5.18158574  5.04642652  5.64649476]
 [57.20273809 41.69456023 36.83892376 41.58861294 38.12587672]]","[[48.16625965 61.97518674 67.92655676 64.00163678 79.35894672]
 [59.10184185 44.40179439 39.93661128 44.30340205 41.11047257]]","[[0.40966121 0.31889217 0.28679322 0.30758557 0.23307375]
 [1.42266311 1.31725275 1.27598086 1.31640466 1.28742693]]"
6,7.121108527980232,33.117362163087805,5.395506768245656,36.129294188341774,7.121081556545805,21.981184188746038,0.5214393138885498,0.5586161241039563,0.8775040507316589,0.5214854580458831,[ 7.12108126 80.35191258],[36.12802931 81.60064065],[0.52149997 1.53588803],[7.12108125 7.51710902 7.48388592 9.09097874 9.83961625],[36.12929419 47.26110738 46.69901827 66.77594529 74.35843401],[0.52148546 0.41669674 0.42115265 0.29274605 0.25545315],"[[ 7.12108126  7.51732388  7.48482525  9.09091931  9.83967404]
 [80.34888357 49.25736629 60.58252304 42.55065892 40.56954891]]","[[36.12965193 47.26469753 46.7151076  66.77531787 74.35899914]
 [81.59767283 51.44749055 62.34806454 45.10252003 43.25191991]]","[[0.52148135 0.4166685  0.42102415 0.29274933 0.25545053]
 [1.53587546 1.37238206 1.44173433 1.32322193 1.30718229]]"
7,3.7469881616085625,55.2571203504437,2.5813893781251673,56.973647254450924,3.746976029299703,21.981184188746038,0.348663330078125,0.35966471836032393,0.8775040507316589,0.3487176937204117,[ 3.74697596 47.8837284 ],[56.97385978 50.25053767],[0.34871636 1.36370856],[3.74697596 3.75835321 3.74748162 3.84968289 3.91646057],[56.97364725 60.36537339 57.67563009 68.40208782 72.11043281],[0.34871769 0.32817912 0.34435203 0.28436578 0.266055  ],"[[ 3.74697596  3.75836889  3.74760615  3.84940786  3.91668864]
 [47.88372796 45.12132653 47.86401836 41.79520306 44.16483418]]","[[56.97347898 60.3681924  57.73779967 68.38537003 72.12203366]
 [50.25053725 47.64390743 50.23187536 44.53269101 46.74589622]]","[[0.34871875 0.32816261 0.34396839 0.2844508  0.26599936]
 [1.36370856 1.34390165 1.36357133 1.31837717 1.3367596 ]]"
8,4.44473423973752,48.32226174970962,3.087095964865245,49.82825873287914,4.444718476563374,21.981184188746038,0.39711296558380127,0.40846554562309034,0.8775040507316589,0.3971661697597591,[ 4.44471842 55.11820403],[49.83067234 57.90356579],[0.3971484  1.41531592],[4.44471842 4.44518759 4.51325509 5.38232337 4.79226647],[49.82825873 49.36165766 57.33284292 84.23885948 68.46180551],[0.39716617 0.40062096 0.34647602 0.21265775 0.28406227],"[[ 4.44471842  4.44519654  4.51326301  5.38159252  4.79252147]
 [55.12272312 56.56867515 43.68636934 33.76269885 42.68850615]]","[[49.82802068 49.35652343 57.3333055  84.22141943 68.46984541]
 [57.90797026 59.31870932 46.87967742 37.62378068 45.93190943]]","[[0.39716792 0.40065921 0.34647315 0.21272843 0.28402143]
 [1.41534325 1.42397437 1.33783462 1.25194144 1.33013248]]"
9,4.799648365914026,46.2307505570879,3.3221730687553794,47.811329124593136,4.799631512345854,21.981184188746038,0.4123479127883911,0.42491767440660877,0.8775040507316589,0.4123998640609311,[ 4.7996313  58.44383735],[47.81206054 60.33388245],[0.41239419 1.43003975],[4.7996313  4.84373332 5.19466585 6.32560699 5.50948031],[47.81132912 42.68487204 66.72947945 92.3817289  74.95178292],[0.41239986 0.45514911 0.29298885 0.18125446 0.25271333],"[[ 4.7996313   4.84373301  5.19468747  6.32668463  5.50949149]
 [58.44593797 61.12481089 38.48632606 33.10176124 41.50781379]]","[[47.81102792 42.68488836 66.73009841 92.40282831 74.95204912]
 [60.33590737 62.92242833 41.46407779 36.59695366 44.25403845]]","[[0.4124022  0.45514896 0.29298561 0.18117696 0.25271211]
 [1.43005173 1.44499029 1.29078534 1.2405465  1.31597823]]"
