i_g,erm,l_mom_in,l_mom_out
0,5.043916417638626,"[5.04379265 5.0439724  5.08589614 5.04838308 5.12291592 5.04794273
 5.0748933  5.21379975 5.07623311 5.09260096]","[5.85163286 5.84795575 5.96035571 5.87700239 6.02370544 5.87557131
 5.93944561 6.15896682 5.94206235 5.97253672]"
1,4.352032523248845,"[4.35192948 4.35428859 4.38609856 4.39399106 4.3775158  4.40827724
 4.43948581 4.42014617 4.42762086 4.44865012]","[5.88741508 5.91450913 6.01660334 6.03556588 5.99482628 6.06784168
 6.13196959 6.09307109 6.10836335 6.14974071]"
2,4.506210743865664,"[4.50610307 4.50657637 4.60206872 4.52084058 4.56493923 4.52306341
 4.56040073 4.64288683 4.6347102  4.60539023]","[5.8774748  5.88715253 6.11973792 5.94695454 6.04913676 5.95317069
 6.03991764 6.19064274 6.17679797 6.1256779 ]"
3,5.009318887999054,"[5.00919362 5.01233652 5.01089251 5.16230881 5.02886056 5.05313007
 5.03127244 5.11901877 5.14973829 5.20073718]","[5.84980288 5.86772292 5.86230765 6.12001735 5.9078787  5.95359798
 5.9127664  6.05779077 6.10221796 6.17343925]"
4,4.890245227723595,"[4.89012016 4.93642296 4.94431371 4.90992161 4.96597778 4.98411859
 5.07767268 4.99565789 4.92004133 5.00001766]","[5.85006289 5.963087   5.97730794 5.91197368 6.01424915 6.04364437
 6.18163401 6.06161873 5.93223502 6.06825942]"
5,4.186436135598459,"[4.18633574 4.18727337 4.1871914  4.19302513 4.20954288 4.23787976
 4.23602698 4.29043365 4.23729191 4.25584725]","[5.89348229 5.87837319 5.87904167 5.94401552 6.00013942 6.07235349
 6.06797589 6.18400673 6.07096796 6.11275321]"
6,4.863351110027629,"[4.86323301 4.88513351 4.87568034 4.93797473 4.99351581 4.9537526
 4.99181908 5.01762116 5.01083383 5.03112446]","[5.85932567 5.9332659  5.91120021 6.03228072 6.12197507 6.05859848
 6.11936962 6.15828511 6.14814236 6.17832544]"
7,4.170568613229113,"[4.17047805 4.17238065 4.18457003 4.18076698 4.24583393 4.19871742
 4.25393344 4.18449175 4.19589152 4.20284184]","[5.92002883 5.94987179 6.01105967 5.99562147 6.17825922 6.05911052
 6.19625691 6.01075751 6.05023183 6.07126924]"
8,3.8859466964731455,"[3.88586751 3.89671824 3.90385696 3.88607799 3.90210233 3.89406128
 3.97930131 3.96829646 4.05815361 4.0135641 ]","[5.95901241 6.04382689 6.07361816 5.94853038 6.06674282 6.03115036
 6.28374519 6.25769899 6.45601622 6.36111954]"
9,7.248495307541328,"[7.24827556 7.50982955 7.40896825 7.48622269 7.55224547 7.72558241
 7.70825527 7.65787574 7.76486616 7.98909802]","[5.88584034 5.90191079 5.85693739 5.89040928 5.92381223 6.02390467
 6.01326727 5.98296931 6.04834557 6.19529096]"
