i_g,erm,RU_val,RU,Robust_val,Robust_mean,opt,z_erm,z_RU,z_opt,z_robust,l_wass_in,l_wass_out,z_wass,l_mom_in,l_mom_out,z_mom,l_wass_mom_in,l_wass_mom_out,z_was_mom
0,7.562905674728604,16.855921270527812,5.479284806384177,17.310964830458115,7.562580493151507,15.23361820212084,1.8042564392089844,1.901008329623119,2.624201774597168,1.8043982752863006,[7.56258009 8.8120634 ],[17.31063902 15.23377778],[1.80446345 2.61731249],[7.56258009 7.6282428  7.71220224],[17.31096483 16.45722316 18.9597988 ],[1.80439828 1.99744769 1.52261833],"[[7.5625801  7.62825679 7.7122713 ]
 [8.81211884 9.64017217 8.09761778]]","[[17.31111374 16.45714651 18.96026784]
 [15.23377702 15.37777919 15.47986926]]","[[1.80436849 1.99746762 1.52254847]
 [2.61732927 2.83272133 2.34596499]]"
1,6.152670083615675,17.907311796601746,4.520652471812836,18.434586406344327,6.152413174207519,15.23361820212084,1.60369873046875,1.6926204696037348,2.624201774597168,1.6038846582756803,[6.15241284 7.19070279],[18.43427953 15.39913053],[1.60393405 2.39653326],[6.15241284 6.19422012 6.16973096],[18.43458641 17.54258329 19.09476284],[1.60388466 1.75928709 1.50270006],"[[6.15241284 6.1942201  6.16975645]
 [7.19074421 7.72007948 6.97230262]]","[[18.43439553 17.54258349 19.09529854]
 [15.39910848 15.24310474 15.54593963]]","[[1.60391538 1.75928705 1.50262172]
 [2.39654856 2.57017272 2.31045492]]"
2,8.401309323595715,15.845431171217024,6.476218207337643,16.357310757927383,8.400900260573016,15.23361820212084,2.023744583129883,2.183236340596951,2.624201774597168,2.02396450870283,[8.40089972 9.72338944],[16.35739552 15.34563914],[2.02394153 2.80826976],[8.40089972 8.68493326 8.78920363],[16.35731076 15.39844826 18.57278656],[2.02396451 2.39700726 1.5818794 ],"[[ 8.40089972  8.68497057  8.78954366]
 [ 9.72340785 11.50526888  8.67072236]]","[[16.35768397 15.39841429 18.57406121]
 [15.34564549 16.34012158 15.411796  ]]","[[2.02386335 2.39703089 1.58167862]
 [2.80827492 3.1894021  2.38790263]]"
3,27.279229563482886,17.856478363750306,20.808300362819843,16.902344220558028,27.27813268097878,15.23361820212084,3.3122777938842773,3.4764688323193673,2.624201774597168,3.31239639253895,[27.27813239 31.40523918],[16.90226813 24.43792149],[3.31238144 4.12932898],[27.27813239 27.28716574 27.76332445],[16.90234422 17.11606028 18.75272115],[3.31239639 3.35299022 3.60153758],"[[27.27813239 27.28712911 27.76309728]
 [31.40579905 31.6894905  35.600297  ]]","[[16.90239511 17.11561265 18.75220475]
 [24.43866072 24.81099243 29.63686251]]","[[3.31240639 3.35290795 3.60147123]
 [4.12938133 4.15540261 4.44377777]]"
4,25.758716439135487,17.981800367096323,21.744460718949917,16.457333734887033,25.757683828426437,15.23361820212084,3.217315673828125,3.4953072565477017,2.624201774597168,3.2174569674873386,[25.75768129 29.74078193],[16.45687014 23.1630464 ],[3.21734895 4.03462625],[25.75768126 27.11696507 32.25536066],[16.45733373 19.5895617  16.19477888],[3.21745697 3.70231968 2.06971346],"[[25.75768127 27.11719477 32.2559238 ]
 [29.74104737 36.56766467 26.37616139]]","[[16.45700698 19.58991846 16.19494889]
 [23.1633787  31.04899799 15.43477995]]","[[3.21738084 3.70236007 2.0696637 ]
 [4.03465218 4.51517721 2.86999668]]"
5,4.541147099605643,19.579928582839212,3.2247609374562005,20.096511646367198,4.540961021004737,15.23361820212084,1.3647079467773438,1.4339104205570363,2.624201774597168,1.3649196602854705,[4.54096083 5.4569124 ],[20.09720194 15.88948586],[1.3648301 2.1674178],[4.54096083 4.56520025 4.54278358],[20.09651165 19.03902879 20.44712457],[1.36491966 1.51088135 1.32026167],"[[4.54096083 4.56520183 4.54278358]
 [5.45691235 5.78848074 5.27561452]]","[[20.0968393  19.03900135 20.44712459]
 [15.88948591 15.58415465 16.12944623]]","[[1.36487715 1.51088539 1.32026167]
 [2.16741778 2.29159577 2.08916715]]"
6,6.573222023374224,17.261233556598437,4.994592340817345,17.984116202097596,6.572940200441543,15.23361820212084,1.6790390014648438,1.8144062188520473,2.624201774597168,1.6791768213942198,[6.57294007 7.69088765],[17.98385026 15.29824171],[1.67922304 2.48246441],[6.57294007 6.67476922 6.6002681 ],[17.9841162  16.73486019 18.84078538],[1.67917682 1.92891292 1.5404922 ],"[[6.57294007 6.6746635  6.60026812]
 [7.69103955 8.50503692 7.29551314]]","[[17.9839788  16.73542041 18.84078565]
 [15.29819515 15.26232323 15.50601285]]","[[1.6792007  1.92878128 1.54049216]
 [2.48251583 2.71787181 2.3314133 ]]"
7,3.686233396814196,21.41676863950358,2.537083845692953,21.670310748621098,3.686095183314606,15.23361820212084,1.1755943298339844,1.2044609913796522,2.624201774597168,1.175815031161202,[3.68609516 4.43652365],[21.66995169 16.59658812],[1.17585516 1.96218252],[3.68609516 3.72585233 3.72095221],[21.67031075 20.10663185 20.20120683],[1.17581503 1.36360736 1.3514121 ],"[[3.68609516 3.72585233 3.72095027]
 [4.43652342 4.91506378 4.90179982]]","[[21.67031779 20.10663199 20.20124542]
 [16.5965886  15.88309855 15.89753273]]","[[1.17581424 1.36360734 1.35140715]
 [1.9621824  2.16967829 2.16458531]]"
8,4.384319202696376,20.044800310953363,3.041352334731779,20.345369270137354,4.384141457556175,15.23361820212084,1.3330437242984772,1.3716476359798604,2.624201774597168,1.3330550386074695,[4.38414132 5.23898577],[20.34536668 15.94044504],[1.33305537 2.14975649],[4.38414132 4.41003152 4.39719912],[20.34536927 19.18314269 21.07957028],[1.33305504 1.48985016 1.24355403],"[[4.38414132 4.41003129 4.3972013 ]
 [5.23895441 5.60235143 4.97119384]]","[[20.34536579 19.18314746 21.07963723]
 [15.94048759 15.56781001 16.39807713]]","[[1.33305548 1.48984947 1.24354615]
 [2.14974202 2.29953184 2.01301036]]"
9,4.7109733149339315,19.69159937484847,3.2604332384461974,19.9688522831617,4.710782728161761,15.23361820212084,1.3813972473144531,1.4186488701696873,2.624201774597168,1.3815979723915763,[4.71078247 5.63626372],[19.96919576 15.81757794],[1.38155278 2.193527  ],[4.71078247 4.74539772 4.71154724],[19.96885228 18.79674336 19.78755316],[1.38159797 1.54718297 1.40569347],"[[4.71078247 4.74541861 4.71155043]
 [5.63620755 6.02746329 5.77702312]]","[[19.96957703 18.7964318  19.78718425]
 [15.81764141 15.4845974  15.67402285]]","[[1.38150263 1.54723045 1.40574301]
 [2.19350328 2.34327895 2.2508766 ]]"
